State,District,Soil_Type,Season,Temperature,Humidity,Rainfall,Previous_Crop,Recommended_Crop
Uttar Pradesh,Agra,Black Soil,Whole Year,36.1,57,204.9,Cotton,Cotton
Uttar Pradesh,Agra,Black Soil,Zaid,33.7,80,24.3,Banana,Jowar
Uttar Pradesh,Agra,Black Soil,Kharif,24.2,45,329.2,Mungbean,Cotton
Uttar Pradesh,Agra,Sandy Soil,Rabi,36.6,54,223.5,Apple,Watermelon
Uttar Pradesh,Agra,Red Soil,Whole Year,22.7,51,81.3,Maize,Pulses
Uttar Pradesh,Agra,Alluvial Soil,Kharif,20.7,48,169.0,Coffee,Rice
Uttar Pradesh,Agra,Alluvial Soil,Zaid,33.3,65,236.1,Coconut,Rice
Uttar Pradesh,Agra,Laterite Soil,Kharif,39.5,68,157.3,Grapes,Coffee
Uttar Pradesh,Agra,Laterite Soil,Whole Year,31.5,74,259.5,Mungbean,Tea
Uttar Pradesh,Agra,Loamy Soil,Rabi,33.2,43,293.1,Mango,Wheat
Uttar Pradesh,Agra,Black Soil,Whole Year,39.5,82,89.7,Coffee,Cotton
Uttar Pradesh,Agra,Laterite Soil,Zaid,30.1,69,232.9,Pigeonpeas,Coffee
Uttar Pradesh,Agra,Loamy Soil,Rabi,23.4,40,318.7,Chickpea,Sugarcane
Uttar Pradesh,Agra,Sandy Soil,Zaid,24.9,52,130.8,Muskmelon,Watermelon
Uttar Pradesh,Agra,Sandy Soil,Zaid,30.5,59,169.1,Maize,Groundnut
Uttar Pradesh,Agra,Black Soil,Kharif,25.1,93,122.5,Mungbean,Jowar
Uttar Pradesh,Agra,Sandy Soil,Zaid,33.1,91,347.8,Cotton,Watermelon
Uttar Pradesh,Agra,Loamy Soil,Kharif,37.2,60,116.7,Maize,Sugarcane
Uttar Pradesh,Agra,Loamy Soil,Rabi,18.9,46,265.9,Pigeonpeas,Rice
Uttar Pradesh,Agra,Alluvial Soil,Rabi,27.5,86,209.2,Apple,Sugarcane
Uttar Pradesh,Aligarh,Sandy Soil,Whole Year,21.0,43,175.0,Papaya,Watermelon
Uttar Pradesh,Aligarh,Laterite Soil,Zaid,34.4,82,87.7,Maize,Cashew
Uttar Pradesh,Aligarh,Loamy Soil,Kharif,39.2,62,236.6,Grapes,Wheat
Uttar Pradesh,Aligarh,Loamy Soil,Kharif,37.4,43,72.7,Pomegranate,Wheat
Uttar Pradesh,Aligarh,Red Soil,Zaid,32.8,63,322.8,Mothbeans,Pulses
Uttar Pradesh,Aligarh,Laterite Soil,Rabi,34.5,43,143.8,Mango,Coffee
Uttar Pradesh,Aligarh,Sandy Soil,Zaid,21.7,62,251.9,Pomegranate,Groundnut
Uttar Pradesh,Aligarh,Sandy Soil,Zaid,23.9,90,320.0,Lentil,Watermelon
Uttar Pradesh,Aligarh,Red Soil,Kharif,32.5,92,158.9,Pomegranate,Groundnut
Uttar Pradesh,Aligarh,Red Soil,Kharif,36.3,67,347.1,Coconut,Groundnut
Uttar Pradesh,Aligarh,Alluvial Soil,Whole Year,25.4,76,82.3,Papaya,Rice
Uttar Pradesh,Aligarh,Sandy Soil,Kharif,26.2,83,114.2,Coffee,Groundnut
Uttar Pradesh,Aligarh,Red Soil,Zaid,18.1,60,161.8,Jute,Pulses
Uttar Pradesh,Aligarh,Alluvial Soil,Whole Year,31.4,51,272.8,Papaya,Rice
Uttar Pradesh,Aligarh,Red Soil,Rabi,30.1,58,111.4,Grapes,Pulses
Uttar Pradesh,Aligarh,Alluvial Soil,Rabi,25.3,50,36.0,Mango,Sugarcane
Uttar Pradesh,Aligarh,Loamy Soil,Kharif,35.3,54,193.5,Apple,Maize
Uttar Pradesh,Aligarh,Alluvial Soil,Whole Year,28.7,76,207.1,Lentil,Rice
Uttar Pradesh,Aligarh,Sandy Soil,Rabi,26.5,70,102.4,Maize,Watermelon
Uttar Pradesh,Aligarh,Red Soil,Rabi,27.9,46,146.6,Mothbeans,Pulses
Uttar Pradesh,Ambedkar Nagar,Alluvial Soil,Rabi,20.3,94,127.3,Chickpea,Sugarcane
Uttar Pradesh,Ambedkar Nagar,Sandy Soil,Kharif,38.9,92,139.0,Rice,Groundnut
Uttar Pradesh,Ambedkar Nagar,Laterite Soil,Kharif,29.6,77,180.1,Lentil,Tea
Uttar Pradesh,Ambedkar Nagar,Laterite Soil,Rabi,32.5,44,149.9,Mothbeans,Cashew
Uttar Pradesh,Ambedkar Nagar,Loamy Soil,Zaid,18.6,86,299.1,Coffee,Wheat
Uttar Pradesh,Ambedkar Nagar,Loamy Soil,Kharif,20.1,79,41.0,Mango,Maize
Uttar Pradesh,Ambedkar Nagar,Loamy Soil,Zaid,31.6,40,48.8,Lentil,Rice
Uttar Pradesh,Ambedkar Nagar,Red Soil,Rabi,30.5,95,296.6,Chickpea,Millets
Uttar Pradesh,Ambedkar Nagar,Red Soil,Whole Year,36.9,90,162.9,Watermelon,Millets
Uttar Pradesh,Ambedkar Nagar,Black Soil,Zaid,29.0,75,280.7,Coconut,Jowar
Uttar Pradesh,Ambedkar Nagar,Red Soil,Whole Year,34.0,90,148.1,Grapes,Groundnut
Uttar Pradesh,Ambedkar Nagar,Alluvial Soil,Whole Year,27.2,75,223.4,Muskmelon,Maize
Uttar Pradesh,Ambedkar Nagar,Sandy Soil,Zaid,22.8,66,197.4,Pigeonpeas,Muskmelon
Uttar Pradesh,Ambedkar Nagar,Alluvial Soil,Kharif,33.8,63,117.9,Orange,Wheat
Uttar Pradesh,Ambedkar Nagar,Red Soil,Kharif,19.4,81,245.9,Mango,Groundnut
Uttar Pradesh,Ambedkar Nagar,Black Soil,Whole Year,30.9,62,248.9,Maize,Soybean
Uttar Pradesh,Ambedkar Nagar,Loamy Soil,Zaid,27.4,44,99.5,Kidneybeans,Wheat
Uttar Pradesh,Ambedkar Nagar,Loamy Soil,Kharif,35.7,49,316.9,Pomegranate,Sugarcane
Uttar Pradesh,Ambedkar Nagar,Loamy Soil,Zaid,35.0,65,250.6,Banana,Maize
Uttar Pradesh,Ambedkar Nagar,Loamy Soil,Zaid,33.0,84,170.7,Apple,Sugarcane
Uttar Pradesh,Amethi,Black Soil,Kharif,24.2,78,136.7,Mango,Cotton
Uttar Pradesh,Amethi,Alluvial Soil,Whole Year,38.9,64,186.1,Kidneybeans,Sugarcane
Uttar Pradesh,Amethi,Sandy Soil,Kharif,20.9,59,109.5,Kidneybeans,Watermelon
Uttar Pradesh,Amethi,Sandy Soil,Rabi,34.2,67,306.4,Watermelon,Muskmelon
Uttar Pradesh,Amethi,Red Soil,Zaid,39.0,91,320.1,Papaya,Pulses
Uttar Pradesh,Amethi,Black Soil,Kharif,32.5,78,28.7,Blackgram,Cotton
Uttar Pradesh,Amethi,Alluvial Soil,Kharif,21.8,75,226.2,Banana,Maize
Uttar Pradesh,Amethi,Black Soil,Kharif,23.1,94,217.5,Mungbean,Cotton
Uttar Pradesh,Amethi,Alluvial Soil,Rabi,39.4,47,314.3,Papaya,Rice
Uttar Pradesh,Amethi,Sandy Soil,Whole Year,19.3,61,82.6,Mothbeans,Watermelon
Uttar Pradesh,Amethi,Red Soil,Zaid,21.8,49,251.7,Coffee,Pulses
Uttar Pradesh,Amethi,Laterite Soil,Whole Year,25.7,88,252.4,Orange,Tea
Uttar Pradesh,Amethi,Sandy Soil,Rabi,37.5,42,349.6,Rice,Muskmelon
Uttar Pradesh,Amethi,Loamy Soil,Whole Year,28.3,58,189.3,Jute,Rice
Uttar Pradesh,Amethi,Sandy Soil,Whole Year,28.1,63,24.7,Kidneybeans,Muskmelon
Uttar Pradesh,Amethi,Sandy Soil,Zaid,35.8,93,123.9,Banana,Muskmelon
Uttar Pradesh,Amethi,Red Soil,Rabi,28.5,59,106.8,Kidneybeans,Millets
Uttar Pradesh,Amethi,Black Soil,Whole Year,25.9,85,146.5,Kidneybeans,Soybean
Uttar Pradesh,Amethi,Alluvial Soil,Zaid,31.8,51,328.2,Orange,Rice
Uttar Pradesh,Amethi,Alluvial Soil,Whole Year,20.8,56,179.9,Chickpea,Rice
Uttar Pradesh,Amroha,Loamy Soil,Kharif,34.6,40,345.1,Mothbeans,Wheat
Uttar Pradesh,Amroha,Laterite Soil,Zaid,30.9,83,138.3,Mango,Cashew
Uttar Pradesh,Amroha,Loamy Soil,Kharif,37.5,68,100.4,Mango,Sugarcane
Uttar Pradesh,Amroha,Red Soil,Whole Year,29.2,71,343.7,Blackgram,Pulses
Uttar Pradesh,Amroha,Black Soil,Rabi,36.2,57,49.9,Watermelon,Jowar
Uttar Pradesh,Amroha,Alluvial Soil,Rabi,20.3,75,91.4,Blackgram,Wheat
Uttar Pradesh,Amroha,Laterite Soil,Whole Year,32.1,56,42.7,Chickpea,Cashew
Uttar Pradesh,Amroha,Laterite Soil,Zaid,30.3,71,273.2,Coconut,Coffee
Uttar Pradesh,Amroha,Loamy Soil,Rabi,25.6,57,279.7,Banana,Wheat
Uttar Pradesh,Amroha,Sandy Soil,Kharif,27.5,91,245.8,Banana,Watermelon
Uttar Pradesh,Amroha,Alluvial Soil,Zaid,25.7,95,120.8,Cotton,Rice
Uttar Pradesh,Amroha,Alluvial Soil,Kharif,37.9,75,281.5,Rice,Sugarcane
Uttar Pradesh,Amroha,Sandy Soil,Kharif,37.5,77,282.5,Blackgram,Watermelon
Uttar Pradesh,Amroha,Black Soil,Rabi,26.7,41,315.1,Coffee,Jowar
Uttar Pradesh,Amroha,Loamy Soil,Whole Year,32.6,85,31.8,Banana,Rice
Uttar Pradesh,Amroha,Red Soil,Kharif,23.5,84,209.9,Blackgram,Pulses
Uttar Pradesh,Amroha,Alluvial Soil,Whole Year,23.9,84,203.2,Rice,Sugarcane
Uttar Pradesh,Amroha,Red Soil,Zaid,39.9,58,191.0,Mungbean,Millets
Uttar Pradesh,Amroha,Loamy Soil,Kharif,24.1,43,236.2,Papaya,Maize
Uttar Pradesh,Amroha,Loamy Soil,Zaid,29.9,75,56.1,Coconut,Rice
Uttar Pradesh,Auraiya,Loamy Soil,Whole Year,20.8,85,99.1,Pigeonpeas,Rice
Uttar Pradesh,Auraiya,Red Soil,Kharif,36.4,84,189.7,Cotton,Groundnut
Uttar Pradesh,Auraiya,Alluvial Soil,Zaid,29.9,67,196.3,Muskmelon,Maize
Uttar Pradesh,Auraiya,Sandy Soil,Kharif,30.4,85,177.5,Pomegranate,Watermelon
Uttar Pradesh,Auraiya,Laterite Soil,Rabi,25.7,74,331.2,Kidneybeans,Tea
Uttar Pradesh,Auraiya,Black Soil,Kharif,28.1,40,234.7,Kidneybeans,Soybean
Uttar Pradesh,Auraiya,Alluvial Soil,Zaid,28.4,56,341.8,Orange,Wheat
Uttar Pradesh,Auraiya,Loamy Soil,Kharif,26.0,73,156.8,Apple,Maize
Uttar Pradesh,Auraiya,Red Soil,Zaid,34.2,60,94.0,Papaya,Pulses
Uttar Pradesh,Auraiya,Sandy Soil,Whole Year,31.0,70,270.7,Cotton,Groundnut
Uttar Pradesh,Auraiya,Black Soil,Kharif,18.3,85,95.6,Mothbeans,Cotton
Uttar Pradesh,Auraiya,Laterite Soil,Kharif,37.0,55,140.7,Mungbean,Tea
Uttar Pradesh,Auraiya,Red Soil,Zaid,30.7,46,55.0,Muskmelon,Millets
Uttar Pradesh,Auraiya,Loamy Soil,Rabi,21.2,44,174.9,Grapes,Maize
Uttar Pradesh,Auraiya,Loamy Soil,Whole Year,29.8,56,66.0,Cotton,Wheat
Uttar Pradesh,Auraiya,Laterite Soil,Kharif,33.3,55,292.9,Coconut,Tea
Uttar Pradesh,Auraiya,Black Soil,Whole Year,18.1,94,330.7,Muskmelon,Soybean
Uttar Pradesh,Auraiya,Alluvial Soil,Rabi,23.0,40,154.1,Papaya,Rice
Uttar Pradesh,Auraiya,Laterite Soil,Kharif,29.7,78,129.6,Lentil,Coffee
Uttar Pradesh,Auraiya,Loamy Soil,Zaid,27.4,53,58.5,Mothbeans,Maize
Uttar Pradesh,Ayodhya,Laterite Soil,Whole Year,22.5,81,87.2,Apple,Tea
Uttar Pradesh,Ayodhya,Sandy Soil,Kharif,33.8,68,224.9,Pomegranate,Muskmelon
Uttar Pradesh,Ayodhya,Loamy Soil,Zaid,26.8,84,252.0,Chickpea,Rice
